Name,Type,Start Time,Elapsed Time,Start Direction,End Direction
0,False,0,13.5,North,South
1,True,0,19.0,West,South
2,True,1.0,23.5,East,North
3,True,1.5,26.5,South,North
4,True,12.0,19.5,West,East
5,True,14.0,21.0,East,West
6,True,22.0,16.5,West,East
7,True,24.5,17.5,North,South
8,False,28.5,15.5,East,West
9,True,28.5,21.0,South,East
10,True,35.0,18.0,North,South
11,True,38.5,18.0,West,East
12,True,40.5,19.5,South,North
13,False,47.0,15.0,North,South
14,True,47.0,18.5,East,West
15,True,53.5,16.5,West,East
16,True,60.0,16.5,East,West
17,True,61.0,19.0,South,North
18,True,67.5,16.5,North,South
19,True,67.5,20.0,West,East
20,True,71.5,19.5,South,North
21,True,75.0,19.5,East,West
22,False,79.5,17.0,North,South
23,True,81.5,18.5,West,East
24,True,87.0,18.5,East,South
25,True,94.0,16.5,West,East
26,True,94.5,19.5,North,South
27,True,94.5,23.0,South,North
28,True,97.5,23.5,East,West
29,True,104.5,20.0,South,North
30,True,105.5,22.5,West,East
31,True,106.0,25.5,North,South
32,True,110.5,24.5,East,West
33,True,116.5,22.0,North,South
34,True,123.0,19.0,West,East
35,True,128.0,17.5,North,South
36,True,128.5,22.5,South,West
37,True,130.0,24.5,East,West
38,True,133.0,25.0,West,East
39,True,144.5,17.0,West,East
40,True,145.0,22.0,North,West
41,True,145.5,27.0,East,North
42,True,153.5,22.5,South,North
43,True,155.5,24.0,West,East
44,True,156.5,26.5,North,South
45,True,157.0,29.5,East,West
46,True,164.0,26.0,South,North
47,True,167.5,26.0,West,East
48,True,169.5,29.5,North,West
49,True,170.0,32.5,East,West
50,True,177.0,29.0,South,North
51,False,178.0,30.0,West,East
52,True,183.0,28.5,North,South
53,False,183.0,30.5,East,West
54,True,188.0,29.0,West,East
55,False,196.0,23.0,North,South
57,True,197.5,25.0,South,North
56,True,196.5,29.5,East,West
58,True,199.5,32.0,West,South
59,True,206.0,29.0,North,South
60,True,207.5,31.0,South,North
61,True,211.0,31.0,East,West
62,False,216.5,27.5,West,East
63,True,219.0,28.5,North,South
65,True,224.0,27.0,South,North
64,False,221.5,33.5,East,North
66,False,228.0,29.0,West,East
68,True,236.5,24.0,South,North
67,True,236.5,27.5,East,West
70,True,239.5,28.0,North,South
69,True,238.0,33.0,West,East
