Name,Type,Start Time,Elapsed Time,Start Direction,End Direction
0,True,4.0,16.5,North,South
1,True,4.0,20.0,East,West
2,True,5.0,22.5,South,North
3,True,16.0,16.5,South,North
4,True,18.0,18.0,North,South
5,True,19.0,20.5,West,East
6,True,26.5,16.5,East,West
7,True,28.5,18.0,South,North
8,True,35.5,16.5,West,East
9,True,37.0,18.5,East,West
10,True,45.5,16.5,West,East
11,True,48.0,17.5,South,North
12,True,49.5,19.5,North,South
13,True,50.5,22.0,East,West
14,True,57.0,19.0,West,East
15,True,60.0,19.5,North,South
16,True,66.0,17.0,East,West
17,True,69.0,17.5,South,North
18,True,71.0,19.0,North,South
19,True,72.0,21.5,West,East
20,True,79.0,20.0,East,South
21,True,92.0,18.5,South,West
22,True,92.5,21.5,North,South
23,True,95.0,22.5,East,West
24,True,98.5,22.5,West,East
25,True,102.5,22.0,South,North
26,True,109.5,18.5,West,East
27,True,111.5,22.0,East,North
29,False,115.5,20.0,South,North
28,True,114.5,24.5,North,South
30,True,122.5,20.0,West,East
31,True,127.5,18.5,East,West
32,True,133.5,16.5,West,East
33,False,136.5,15.5,South,North
34,True,138.5,17.0,East,West
35,True,143.5,16.5,West,East
36,True,148.0,16.5,South,North
38,False,150.0,16.5,North,South
37,True,148.5,21.5,East,West
39,True,156.5,17.0,West,East
40,True,160.0,17.0,East,West
41,True,162.5,18.0,North,South
42,True,167.5,16.5,West,East
43,True,168.5,19.0,South,North
44,True,171.0,20.0,East,West
45,True,178.5,16.5,South,North
46,True,182.0,16.5,North,South
47,True,187.0,16.5,East,West
48,True,191.5,16.5,South,North
49,True,191.5,22.0,West,South
50,True,197.5,19.5,North,South
51,True,200.5,20.0,East,West
52,True,210.5,16.5,South,North
53,True,211.5,19.0,West,East
54,True,216.0,18.0,North,South
55,False,221.0,15.0,East,West
56,True,225.0,16.5,West,East
57,True,227.0,18.0,South,North
58,False,232.5,14.5,North,South
59,True,234.0,18.5,East,North
60,True,236.0,20.0,West,East
61,False,238.0,22.0,South,East
62,True,247.0,16.5,North,South
63,True,247.5,19.5,East,West
64,True,249.5,21.0,West,East
65,True,257.0,17.0,South,North
66,True,260.5,17.0,North,South
67,True,261.5,21.5,West,North
68,False,266.0,21.0,East,North
69,True,274.5,16.5,North,South
70,True,276.5,18.0,East,West
71,True,278.5,19.5,South,North
72,True,281.0,20.5,West,East
73,True,290.0,18.5,South,East
74,True,291.0,21.0,West,East
75,False,293.5,22.5,North,West
76,True,296.0,23.5,East,West
77,False,301.5,20.0,South,North
78,True,304.0,21.0,North,South
79,False,308.5,18.5,East,West
80,True,312.5,18.0,South,North
81,True,314.5,19.5,North,South
82,False,316.0,20.0,West,East
83,True,318.5,21.0,East,West
84,True,326.0,17.0,North,South
85,True,326.5,20.0,West,East
86,True,333.0,17.0,East,West
87,True,333.0,20.5,South,North
88,False,344.5,13.5,East,West
89,True,345.5,18.5,North,East
90,True,346.0,21.5,South,North
91,True,347.0,24.0,West,East
92,True,356.5,18.0,South,North
93,True,357.5,20.5,North,South
94,True,358.0,25.5,East,North
95,True,360.5,26.5,West,East
96,True,369.5,21.0,East,West
97,True,371.0,23.0,North,South
98,True,373.0,24.5,South,North
99,True,380.5,20.5,West,East
100,True,382.0,22.5,North,South
101,False,384.0,24.5,South,East
